"Ticker","Company Name","ISIN Code","CUSIP Number"
"NTRS","Northern Trust Corp.","US6658591044","984121103"
"TE","TECO Energy","US8723751009","98419M100"
"ESRX","Express Scripts","US30219G1085","984332106"
"CTL","CenturyLink Inc.","US1567001060","988498101"
"JD","JD.com","US47215P1066","98956P102"
"TGT","Target Corp.","US87612E1064","989701107"
"GRMN","Garmin Ltd.","CH0114405324","98978V103"
"DG","Dollar General","US2566771059","999900624"
"LLL","L-3 Comm's Holdings","US5024241045","G491BT108"
"PXD","Pioneer Natural Resources","US7237871071","G60754101"
"NFLX","Netflix Inc.","US64110L1061","G81276100"
